('abandon', -1) 3
('abas', -2) 2
('abash', -2) 1
('abat', -1) 1
('abdic', -1) 1
('aberr', -2) 2
('abhor', -2) 5
('abhorr', -2) 3
('abid', 2) 3
('abject', -2) 1
('abjectli', -2) 1
('abjur', -1) 1
('abil', 1) 2
('abl', 1) 1
('abnorm', -1) 1
('abolish', -1) 1
('abomin', -2) 4
('abov', 1) 1
('above-averag', 1) 1
('abound', 1) 1
('abrad', -1) 1
('abras', -2) 1
('abrupt', -1) 1
('abscond', -2) 1
('absenc', -1) 1
('absente', -1) 1
('absent-mind', -2) 1
('absolv', 2) 1
('absolut', 0) 2
('absorb', 0) 1
('absurd', -2) 3
('absurdli', -2) 1
('abund', 1) 2
('abus', -1) 4
('abus', -2) 2
('abysm', -2) 2
('abyss', -2) 1
('acced', 2) 1
('accentu', 0) 1
('accept', 1) 3
('access', 1) 1
('accident', -1) 1
('acclaim', 2) 3
('acclam', 2) 1
('accolad', 2) 2
('accommod', 1) 1
('accomplish', 1) 3
('accord', 1) 2
('accordantli', 1) 1
('accost', -1) 1
('account', -1) 1
('accur', 1) 2
('accurs', -2) 1
('accus', -2) 7
('accusingli', -2) 1
('acerb', -2) 3
('ach', -2) 1
('achiev', 1) 4
('acknowledg', 1) 2
('acquit', 1) 1
('acrid', -2) 2
('acridli', -2) 1
('acrimoni', -2) 3
('activ', 1) 1
('activist', 0) 2
('actual', 0) 3
('acumen', 2) 1
('adam', -2) 1
('adamantli', -2) 1
('adapt', 1) 3
('addict', -1) 2
('adept', 1) 1
('adeptli', 1) 1
('adequ', 1) 1
('adher', 1) 2
('adhes', 1) 1
('admir', 2) 7
('admiringli', 2) 1
('admiss', 1) 2
('admit', 2) 1
('admittedli', 2) 1
('admonish', -2) 3
('admonishingli', -2) 1
('admonit', -2) 1
('adolesc', 0) 2
('ador', 2) 6
('adoringli', 2) 1
('adrift', -1) 1
('adroit', 2) 1
('adroitli', 2) 1
('adul', 2) 2
('adulatori', 2) 1
('adulter', -2) 3
('advanc', 1) 1
('advantag', 1) 4
('advantag', 2) 1
('adventur', 1) 3
('adventuresom', 2) 1
('adventur', 2) 1
('adversari', -1) 2
('advers', -1) 1
('advers', -2) 1
('advic', 1) 2
('advis', 1) 1
('advoc', 2) 1
('advocaci', 2) 1
('affabl', 2) 1
('affabl', 1) 2
('affect', 0) 2
('affect', -1) 1
('affect', 2) 2
('affection', 2) 1
('affin', 1) 1
('affirm', 2) 3
('affirm', 1) 1
('afflict', -1) 2
('afflict', -2) 1
('affluent', 1) 1
('affluenc', 1) 1
('afford', 1) 2
('affront', -2) 2
('afloat', 1) 1
('afraid', -2) 1
('against', -1) 1
('aggrav', -2) 3
('aggress', -2) 4
